0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/assets/images/laptop1.jpg HTTP/1.1" 200 51730
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/assets/images/laptop3.jpg HTTP/1.1" 200 85514
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/assets/images/laptop5.jpg HTTP/1.1" 200 134989
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/assets/images/laptop2.jpg HTTP/1.1" 200 74689
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/assets/images/laptop4.jpg HTTP/1.1" 200 192752
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:12 +0530] "GET /a1ecommerce/products/2 HTTP/1.1" 200 7248
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:12 +0530] "GET /a1ecommerce/assets/images/mobile4.jpg HTTP/1.1" 200 18465
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:12 +0530] "GET /a1ecommerce/assets/images/mobile5.jpg HTTP/1.1" 200 23289
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:12 +0530] "GET /a1ecommerce/assets/images/mobile3.jpg HTTP/1.1" 200 123563
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:12 +0530] "GET /a1ecommerce/assets/images/mobile2.jpg HTTP/1.1" 200 113445
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:12 +0530] "GET /a1ecommerce/assets/images/mobile1.jpg HTTP/1.1" 200 164063
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:14 +0530] "GET /a1ecommerce/products/3 HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:14 +0530] "GET /a1ecommerce/assets/images/tv1.jpg HTTP/1.1" 200 135645
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:14 +0530] "GET /a1ecommerce/assets/images/tv5.jpg HTTP/1.1" 200 181659
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:14 +0530] "GET /a1ecommerce/assets/images/tv2.jpg HTTP/1.1" 200 196953
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:14 +0530] "GET /a1ecommerce/assets/images/tv4.jpg HTTP/1.1" 200 260058
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:14 +0530] "GET /a1ecommerce/assets/images/tv3.jpg HTTP/1.1" 200 372090
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:17 +0530] "GET /a1ecommerce/products/4 HTTP/1.1" 200 8565
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:17 +0530] "GET /a1ecommerce/assets/images/ac1.jpg HTTP/1.1" 200 85672
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:17 +0530] "GET /a1ecommerce/assets/images/ac3.jpg HTTP/1.1" 200 98237
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:17 +0530] "GET /a1ecommerce/assets/images/ac5.jpg HTTP/1.1" 200 135504
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:17 +0530] "GET /a1ecommerce/assets/images/ac2.jpg HTTP/1.1" 200 182515
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:17 +0530] "GET /a1ecommerce/assets/images/ac4.jpg HTTP/1.1" 200 288366
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:19 +0530] "GET /a1ecommerce/products/5 HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:19 +0530] "GET /a1ecommerce/assets/images/au5.jpg HTTP/1.1" 200 47553
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:19 +0530] "GET /a1ecommerce/assets/images/au3.jpg HTTP/1.1" 200 94901
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:19 +0530] "GET /a1ecommerce/assets/images/au1.jpg HTTP/1.1" 200 58719
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:19 +0530] "GET /a1ecommerce/assets/images/au4.jpg HTTP/1.1" 200 114431
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:19 +0530] "GET /a1ecommerce/assets/images/au2.jpg HTTP/1.1" 200 142322
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:21 +0530] "GET /a1ecommerce/products/6 HTTP/1.1" 200 5944
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:21 +0530] "GET /a1ecommerce/assets/images/gr5.jpg HTTP/1.1" 200 22190
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:21 +0530] "GET /a1ecommerce/assets/images/gr1.jpg HTTP/1.1" 200 49784
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:21 +0530] "GET /a1ecommerce/assets/images/gr3.jpg HTTP/1.1" 200 74257
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:21 +0530] "GET /a1ecommerce/assets/images/gr4.jpg HTTP/1.1" 200 170811
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:21 +0530] "GET /a1ecommerce/assets/images/gr2.jpg HTTP/1.1" 200 205067
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:22 +0530] "GET /a1ecommerce/products/7 HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:22 +0530] "GET /a1ecommerce/assets/images/np2.jpg HTTP/1.1" 200 40652
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:22 +0530] "GET /a1ecommerce/assets/images/np1.jpg HTTP/1.1" 200 83393
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:22 +0530] "GET /a1ecommerce/assets/images/np3.jpg HTTP/1.1" 200 83680
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:22 +0530] "GET /a1ecommerce/assets/images/np5.jpg HTTP/1.1" 200 195382
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:22 +0530] "GET /a1ecommerce/assets/images/np4.jpg HTTP/1.1" 200 139462
0:0:0:0:0:0:0:1 - - [12/Oct/2015:11:06:23 +0530] "GET /a1ecommerce/products/3 HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [12/Oct/2015:11:06:25 +0530] "GET /a1ecommerce/products/4 HTTP/1.1" 200 8565
0:0:0:0:0:0:0:1 - - [12/Oct/2015:11:06:27 +0530] "GET /a1ecommerce/products/5 HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [12/Oct/2015:11:06:28 +0530] "GET /a1ecommerce/products/6 HTTP/1.1" 200 5944
0:0:0:0:0:0:0:1 - - [12/Oct/2015:11:06:32 +0530] "GET /a1ecommerce/products/7 HTTP/1.1" 200 10070
